[start] 22 companies (engine=Sogou, chromium)
[1/22] 52 北京新雷能科技股份有限公司 | serp=11 pages=1 err=1
[2/22] 53 北京博雅智慧有限公司 | serp=21 pages=1 err=1
[3/22] 54 北京宇算星通科技有限公司 | serp=24 pages=2 err=0
[4/22] 55 北京理工雷科空天信息技术有限公司 | serp=12 pages=0 err=3
[5/22] 56 北京观宇芯算科技有限公司 | serp=11 pages=0 err=3
[6/22] 57 北京中科卫网科技有限公司 | serp=23 pages=2 err=0
[7/22] 58 天安星控（北京）科技有限责任公司 | serp=22 pages=1 err=1
[8/22] 59 苍穹天基（北京）信息通信技术有限公司 | serp=22 pages=2 err=0
[9/22] 60 千亿航天（北京）科技有限公司 | serp=22 pages=1 err=1
[10/22] 61 星际数链（北京）科技有限公司 | serp=21 pages=1 err=1
[11/22] 62 北京极光星通科技有限公司 | serp=23 pages=2 err=0
[12/22] 63 氪星光联科技（深圳）有限公司 | serp=22 pages=1 err=1
[13/22] 64 一行凌光（上海）科技有限公司 | serp=22 pages=1 err=1
[14/22] 65 蓝域神行（上海）科技有限公司 | serp=22 pages=1 err=1
[15/22] 66 火星男孩（南京）科技有限公司 | serp=23 pages=2 err=0
[16/22] 67 苏州密位科技有限公司 | serp=22 pages=2 err=0
[17/22] 68 济南智星空间科技有限公司 | serp=23 pages=1 err=1
[18/22] 69 湖南揽月机电科技有限公司 | serp=23 pages=1 err=1
[19/22] 70 成都原子数据科技有限公司 | serp=23 pages=1 err=1
[20/22] 71 上海聿凡领光通信有限公司 | serp=22 pages=2 err=0
[21/22] 72 艾可萨科技（成都）有限公司 | serp=21 pages=2 err=0
[22/22] 73 上海星瀚聚能技术有限公司 | serp=22 pages=1 err=1
[done] summaries.json with 22 companies
