[start] 22 companies (engine=Sogou, chromium)
[1/22] 30 北京箭元科技有限责任公司 | serp=23 pages=1 err=1
[2/22] 31 星际荣耀航天科技集团股份有限公司 -> cached
[3/22] 32 北京易动宇航科技有限公司 | serp=22 pages=0 err=2
[4/22] 33 东升宇航（北京）科技有限公司 | serp=22 pages=1 err=1
[5/22] 34 北京微纳星空科技股份有限公司 | serp=22 pages=0 err=2
[6/22] 35 天仪空间科技股份有限公司 | serp=11 pages=0 err=3
[7/22] 36 遨天科技（北京）有限公司 | serp=10 pages=1 err=2
[8/22] 37 北京热数科技有限公司 | serp=23 pages=0 err=2
[9/22] 38 天衢星通（北京）科技有限公司 | serp=22 pages=1 err=1
[10/22] 39 北京升宇科技有限公司 | serp=21 pages=2 err=0
[11/22] 40 北京星鸿航宇科技有限公司 | serp=22 pages=1 err=1
[12/22] 41 北京励亚科技有限公司 | serp=22 pages=2 err=0
[13/22] 42 北京微焓科技有限公司 | serp=22 pages=2 err=0
[14/22] 43 北京星源空间技术有限公司 | serp=22 pages=1 err=1
[15/22] 44 北京国科环宇科技股份有限公司 | serp=23 pages=2 err=0
[16/22] 45 北京光邮星空科技有限公司 | serp=23 pages=1 err=1
[17/22] 46 北京五方智达公司科技有限公司 | serp=23 pages=2 err=0
[18/22] 47 北京清博空天科技有限责任公司 | serp=23 pages=1 err=1
[19/22] 48 北京容芯疏远科技有限公司 | serp=23 pages=1 err=1
[20/22] 49 北京添翼星云科技有限公司 | serp=21 pages=2 err=0
[21/22] 50 北京英视睿达科技股份有限公司 | serp=23 pages=2 err=0
[22/22] 51 椭圆时空（北京）科技有限公司 | serp=22 pages=1 err=1
[done] summaries.json with 22 companies
