[start] 23 companies (engine=Sogou, chromium)
[1/23] 74 湖南航升卫星科技有限公司 | serp=22 pages=1 err=1
[2/23] 75 浙江洞一科技有限公司 | serp=22 pages=0 err=2
[3/23] 76 中星万联（深圳）科技有限公司 | serp=22 pages=1 err=1
[4/23] 77 北京零重空间技术有限公司 | serp=22 pages=1 err=1
[5/23] 78 苏州天羿鹏博材料科技有限公司 | serp=0 pages=0 err=2
[6/23] 79 北京星辰道合科技有限公司 | serp=23 pages=1 err=1
[7/23] 80 蓝星光域（上海）航天科技有限公司 | serp=22 pages=1 err=1
[8/23] 81 四川创智联恒科技有限公司 | serp=23 pages=0 err=2
[9/23] 82 北京绿人科技有限责任公司 | serp=23 pages=0 err=2
[10/23] 83 太空字节（深圳）信息科技有限公司 | serp=23 pages=2 err=0
[11/23] 84 轨道星能（北京）科技有限公司 | serp=21 pages=2 err=0
[12/23] 85 飞诺门阵（北京）科技有限公司 | serp=22 pages=1 err=1
[13/23] 86 星枢科创（北京）科技发展有限公司 | serp=22 pages=2 err=0
[14/23] 87 北京星元纵横网络技术有限公司 | serp=23 pages=2 err=0
[15/23] 88 星耀宇航（北京）智能系统科技有限公司 | serp=22 pages=1 err=1
[16/23] 89 北京星驰恒动科技发展有限公司 | serp=23 pages=2 err=0
[17/23] 90 中科驭数（北京）科技有限公司 -> cached
[18/23] 91 大航跃迁科技有限公司 | serp=20 pages=2 err=0
[19/23] 92 苏州馥昶空间技术有限公司 | serp=21 pages=2 err=0
[20/23] 93 超智算（北京）科技有限公司 | serp=21 pages=2 err=0
[21/23] 94 四川赛科动力科技有限公司 | serp=23 pages=2 err=0
[22/23] 95 湖南天硕创新科技有限公司 | serp=21 pages=2 err=0
[23/23] 96 北京同有飞骥科技股份有限公司 | serp=23 pages=2 err=0
[done] summaries.json with 23 companies
